"","State","Date.Local","no2","no2_aqi","o3","o3_aqi","so2","co","so2_aqi","co_aqi"
"250","Alaska","2015-10-18",4.808333,8,0.005708,7,2.6214285,0.235625,7,3
"251","Alaska","2015-10-19",4.204545,8,0.003958,6,1.6166665,0.210625,4,3
"252","Alaska","2015-10-20",10.291667,19,0.00475,6,4.8270835,0.4185415,20,8
"253","Alaska","2015-10-21",12.379167,21,0.004375,6,4.6020835,0.369375,16,6
"254","Alaska","2015-10-22",10.115789,15,0.004667,7,3.016558,0.3220835,6,5
"255","Alaska","2015-10-23",11.2875,19,0.003958,9,4.2319875,0.4585325,16,8
"256","Alaska","2015-10-24",15.166667,20,0.002208,6,8.4041665,0.5916665,21,8
"257","Alaska","2015-10-25",9.063636,14,0.003208,6,4.4541665,0.41125,11,8
"258","Alaska","2015-10-26",12.520833,16,0.000875,1,6.3979165,0.57625,13,8
"259","Alaska","2015-10-27",15.3375,22,0.001292,4,6.4166665,0.6018295,16,9
"260","Alaska","2015-10-28",12.795455,19,0.007875,16,4.4854165,0.388125,10,7
"261","Alaska","2015-10-29",7.0875,14,0.011111,16,1.6729165,0.200769,4,5
"262","Alaska","2015-10-30",9.428571,17,0.012958,22,2.2270835,0.195625,7,3
"263","Alaska","2015-10-31",10.316667,21,0.01375,23,3.03125,0.2389585,17,6
"264","Alaska","2015-11-01",14.940909,22,0.01025,18,6.4354165,0.319402,21,7
"265","Alaska","2015-11-02",10.308333,16,0.01225,17,2.4375,0.279167,7,5
"266","Alaska","2015-11-03",18.121053,26,0.001,1,7.7105265,0.5695725,19,10
"267","Alaska","2015-11-04",14.375,24,0.006059,12,4.662987,0.394167,13,7
"268","Alaska","2015-11-05",16.625,27,0.012292,23,6.2104165,0.435308,16,7
"269","Alaska","2015-11-06",8.013636,17,0.017,19,4.3104165,0.290625,13,5
"270","Alaska","2015-11-07",12.2375,22,0.009167,15,5.6020835,0.3810415,14,7
"271","Alaska","2015-11-08",5.683333,14,0.020875,25,3.3895835,0.292862,7,7
"272","Alaska","2015-11-09",13.457895,25,0.010125,16,5.6916665,0.403958,16,7
"273","Alaska","2015-11-10",23.1125,33,0.002375,7,13.3270835,0.7425,29,11
"274","Alaska","2015-11-11",22.270833,36,0.002958,8,11.6291665,0.702536,24,13
"275","Alaska","2015-11-12",25.04,41,0.001833,3,13.841883,0.759962,36,11
"276","Alaska","2015-11-13",13.945833,21,0.008583,12,3.875,0.3066665,13,7
"277","Alaska","2015-11-14",16.72,20,0.0035,6,9.5895835,0.4699275,26,9
"278","Alaska","2015-11-24",13.642857,20,0.013042,19,4.5180125,0.3216325,11,5
"279","Alaska","2015-11-25",14.033333,21,0.004917,8,5.51875,0.4510415,16,9
"280","Alaska","2015-11-26",7.941667,19,0.010167,15,4.6645835,0.294674,11,8
"281","Alaska","2015-11-27",22.713636,33,0.002667,6,10.76875,0.6189585,24,11
"282","Alaska","2015-11-28",18.679167,26,0.00125,3,12.8166665,0.660208,27,10
"283","Alaska","2015-11-29",21.645833,29,0.001,1,20.49375,1.030725,37,16
"284","Alaska","2015-11-30",29.190909,43,0.001,1,17.2791665,1.050625,36,17
"285","Alaska","2015-12-01",33.404167,48,0.001042,8,17.4104165,0.94125,46,15
"286","Alaska","2015-12-02",20.26087,26,0.007292,13,5.9835405,0.3736745,21,9
"287","Alaska","2015-12-03",15.577273,26,0.011667,17,3.9145835,0.3252085,9,5
"288","Alaska","2015-12-04",18.904167,27,0.005792,11,6.09375,0.3875,17,7
"289","Alaska","2015-12-05",21.445833,25,0,0,17.13125,0.717699,31,11
"290","Alaska","2015-12-06",17.359091,21,0.00075,1,12.2041665,0.658125,36,11
"291","Alaska","2015-12-07",20.729167,25,0.000292,2,11.925,0.659167,26,11
"292","Alaska","2015-12-08",29.586364,42,0.001375,2,10.50625,0.698297,24,10
"293","Alaska","2015-12-09",18.795,23,0.003333,6,6.05625,0.425595,23,8
"294","Alaska","2015-12-10",25.041667,31,0.000167,1,12.6229165,0.6758335,26,10
"295","Alaska","2015-12-11",28.95,32,0.00025,1,15.2104165,0.9226085,43,14
"296","Alaska","2015-12-12",15.281818,25,0.0095,17,8.5229165,0.4785415,30,10
"297","Alaska","2015-12-13",16.7,24,0.004458,15,8.2875,0.430417,21,8
"298","Alaska","2015-12-14",33.959091,44,0.001,1,19.2145835,1.1793295,41,18
"299","Alaska","2015-12-15",28.7875,34,0.001,1,14.947826,0.955208,37,17
"300","Alaska","2015-12-16",28.833333,42,0.001,1,12.914596,1.033062,29,19
"301","Alaska","2015-12-17",27.681818,42,0.001708,5,12.1645835,0.7502175,30,14
"302","Alaska","2015-12-18",21.075,27,0.001917,5,8.6979165,0.546667,23,9
"303","Alaska","2015-12-19",25.775,35,0.001208,2,14.150932,0.8745835,33,16
"304","Alaska","2015-12-20",24.191667,25,0.001667,6,17.5975155,0.827699,39,15
"305","Alaska","2015-12-21",20.279167,29,0.006375,8,7.2770835,0.4520835,27,9
"306","Alaska","2015-12-22",18.245833,23,0.005208,7,4.4625,0.3597915,11,6
"307","Alaska","2015-12-23",17.22,24,0.004,7,6.0265155,0.451685,21,7
"308","Alaska","2015-12-24",18.879167,25,0.001417,4,9.2479165,0.50625,30,10
"309","Alaska","2015-12-25",24.15,28,0.003,4,15.3835405,0.5552715,37,10
"310","Alaska","2015-12-26",24.331818,27,0.002792,5,11.54375,0.5679165,20,8
"311","Alaska","2015-12-27",24.9,28,0.001333,2,15.45,0.6785415,33,10
"312","Alaska","2015-12-28",30.983333,42,0.001708,2,16.5180125,0.880634,37,13
